Movt.,0,1,2,3,4,5,6,7,8,9,10,11
9/iv,0.00,11.48,4.92,0.00,4.26,13.44,11.80,14.43,4.92,2.95,2.95,28.85
9/v,0.00,33.51,13.62,6.54,9.81,9.81,4.90,9.81,8.17,0.00,1.63,2.18
9/vi,0.00,28.80,6.81,8.64,2.62,5.76,10.99,10.73,3.14,2.36,7.85,12.30
10/ii,2.56,12.39,7.05,13.28,7.87,8.10,9.57,6.78,10.73,7.25,4.88,9.56
9/i,0.00,18.19,4.28,10.17,6.59,5.46,6.49,8.90,7.91,5.54,2.90,23.58
10/iv,0.00,35.90,5.13,2.05,4.62,7.90,9.74,2.05,11.28,4.10,4.51,12.72
10/iii,1.44,14.23,13.61,7.80,16.98,13.06,10.31,2.20,13.20,3.71,2.06,1.38
9/ii,0.00,21.83,3.51,2.73,10.92,6.48,2.00,7.60,9.36,10.53,7.26,17.79
10/v,2.24,9.45,5.92,7.47,9.45,4.96,11.69,3.84,10.09,11.58,10.19,13.13
13/ii,1.06,10.13,7.08,10.35,6.83,7.82,10.29,8.92,10.32,9.39,5.30,12.51
11/i,0.00,9.84,11.42,7.87,12.60,12.20,9.06,3.15,11.02,7.87,4.72,10.24
11/ii,0.00,19.53,3.52,8.98,10.74,12.70,9.77,4.30,8.59,7.81,7.03,7.03
11/iii,0.00,22.86,12.57,11.43,1.71,3.43,2.29,6.29,17.71,8.57,0.00,13.14
12/i,0.26,8.49,7.13,8.81,12.64,10.63,7.84,3.95,8.55,10.89,6.03,14.78
12/iii,0.15,11.85,7.85,10.16,10.70,8.49,8.95,6.82,8.47,7.16,8.08,11.31
12/iv,0.00,6.77,10.64,10.98,5.99,8.91,8.34,1.40,13.95,9.71,8.84,14.46
12/ii,0.48,7.61,5.96,7.51,12.68,11.95,10.23,4.48,8.47,7.81,7.23,15.59
13/i,4.32,10.03,7.86,6.69,7.17,8.50,8.80,8.51,11.54,9.90,7.13,9.54
14/iv,3.60,9.43,7.28,11.79,11.43,9.32,9.31,9.43,8.36,7.09,6.09,6.86
13/iii,0.51,11.57,8.23,8.00,9.67,11.30,9.73,8.23,7.11,5.44,5.28,14.95
15/v,5.42,10.27,9.17,10.18,8.65,7.47,8.61,9.26,8.48,8.96,5.11,8.43
13/iv,2.59,8.77,3.65,9.84,9.71,8.57,14.02,9.58,9.18,5.59,9.28,9.21
14/iii,1.08,10.98,7.79,9.11,8.21,10.51,7.81,8.33,9.87,10.17,4.28,11.86
14/vi,0.75,9.44,5.19,14.84,8.28,11.08,14.47,7.10,10.31,5.21,4.48,8.85
14/v,5.87,10.94,10.07,13.50,7.42,6.79,6.32,6.87,12.39,7.97,4.02,7.85
14/ii,2.42,11.66,8.53,9.33,5.76,10.17,7.70,7.21,11.79,7.53,6.07,11.83
14/i,3.08,12.33,5.41,10.42,9.71,11.55,9.54,7.89,5.18,6.97,5.68,12.24
15/i,0.75,9.74,7.07,12.50,8.92,8.95,8.33,8.73,9.88,9.81,6.45,8.85
15/iii,1.04,7.91,3.75,14.21,6.61,8.64,9.89,10.62,9.94,9.94,3.18,14.26
15/ii,3.92,5.96,4.94,9.83,8.62,10.64,11.46,11.67,9.83,7.50,5.71,9.91
15/iv,2.95,6.82,3.86,14.32,6.14,9.77,4.77,10.00,8.64,13.86,4.55,14.32
16/ii,3.42,8.90,4.11,17.12,6.85,6.16,16.44,13.70,10.96,8.90,0.00,3.42
16/iii,1.85,9.54,1.85,12.00,18.46,7.69,15.08,9.54,6.77,8.92,1.85,6.46
16/iv,0.00,3.77,18.67,11.72,5.86,21.10,6.17,0.84,3.13,5.27,6.70,16.77
16/v,2.16,11.42,3.10,17.87,9.68,8.01,7.19,9.19,6.76,12.48,3.45,8.70
16/i,2.89,15.61,5.20,4.62,5.78,4.05,17.53,5.59,14.45,12.14,1.16,10.98
17/i,4.39,13.30,8.68,9.55,8.72,3.83,6.97,9.11,11.82,8.72,3.27,11.64
17/iii,2.12,11.68,6.64,8.79,8.33,11.29,10.25,11.39,9.50,6.51,3.42,10.09
17/ii,4.99,19.08,6.93,9.60,6.99,7.38,6.93,4.60,7.15,9.48,2.16,14.70
18/i,1.65,5.32,7.07,7.07,4.74,15.68,13.94,8.71,8.03,4.45,4.74,18.59
18/ii,4.30,5.93,4.96,11.47,9.85,6.95,10.26,6.83,9.65,2.60,6.83,20.37
18/iii,3.03,5.08,7.94,8.22,4.71,7.56,10.53,6.63,11.54,2.74,3.59,28.44
19/i,2.41,8.21,8.97,10.86,7.72,9.84,7.58,6.01,8.71,8.10,8.30,13.29
19/ii,1.85,9.65,11.49,7.72,8.89,9.31,9.40,6.38,6.29,5.96,7.72,15.35
20/ii,0.05,8.25,3.50,6.04,8.67,21.56,10.20,4.74,5.49,2.90,6.00,22.60
20/i,0.44,10.51,1.82,3.42,5.95,28.17,13.20,3.19,8.83,1.51,2.77,20.20
21/ii,0.00,10.92,11.56,11.05,5.75,13.96,11.71,5.60,7.50,4.90,6.12,10.93
21/i,0.15,10.31,8.15,7.69,7.85,16.38,6.77,2.92,9.31,7.77,9.15,13.54
22/ii,3.69,14.23,4.75,8.98,8.16,10.85,7.93,5.81,6.67,7.63,3.84,17.46
22/i,3.73,12.69,11.94,14.18,8.96,5.97,4.48,6.34,4.48,10.45,4.10,12.69
23/iii,0.00,5.69,9.15,13.20,11.99,9.15,2.76,0.76,15.83,8.39,7.53,15.55
23/ii,0.00,5.43,7.81,15.11,10.56,8.84,6.07,5.18,13.50,3.66,6.52,17.31
23/i,0.24,5.43,9.31,11.37,7.01,11.02,6.57,3.45,13.71,6.78,6.34,18.78
24/i,2.61,11.19,4.50,8.27,6.57,10.70,5.16,4.02,10.78,5.87,5.54,24.80
25/i,0.00,12.34,15.32,12.77,11.49,6.38,3.83,1.70,6.38,5.11,5.53,19.15
24/ii,0.54,6.31,1.80,9.01,19.82,3.60,2.34,2.70,4.32,2.88,2.34,44.32
24/iii,1.21,9.98,0.39,15.95,7.77,3.70,3.79,3.23,15.52,4.61,3.23,30.64
25/iii,0.00,7.73,7.73,10.62,6.56,13.12,4.28,2.04,9.85,9.53,6.50,22.03
25/ii,0.00,11.61,9.93,4.52,3.46,10.55,6.21,2.39,9.57,12.41,6.03,23.32
26,1.48,13.04,9.09,12.71,14.19,10.54,5.84,2.75,9.25,4.82,4.58,11.72
27/iii,0.00,2.64,10.58,7.90,1.59,5.82,11.60,2.12,8.99,2.12,9.86,36.80
27/i,0.00,9.20,9.96,5.36,3.07,18.39,13.41,0.77,2.30,2.30,1.53,33.72
27/ii,0.00,12.90,0.00,12.90,3.23,12.90,19.35,0.00,0.00,0.00,6.45,32.26
28/iii,0.00,4.15,11.34,11.34,5.53,18.04,5.28,2.26,8.00,8.67,9.72,15.67
28/i,0.00,5.55,6.43,14.17,13.20,11.27,5.01,3.05,14.30,5.60,6.58,14.82
28/ii,0.00,7.04,10.88,11.22,8.04,18.52,9.93,4.61,4.70,7.51,12.74,4.80
29/ii,4.04,7.11,11.52,9.19,8.24,7.99,11.51,6.95,6.15,7.88,9.20,10.22
29/i,3.34,9.07,16.79,12.08,6.93,10.94,3.05,10.59,3.16,8.92,5.79,9.35
29/iii,2.40,6.63,13.07,5.35,9.27,12.38,7.27,6.82,7.01,9.12,6.60,14.08
30,2.64,5.86,11.51,15.09,8.98,7.73,7.25,4.56,10.25,5.60,5.20,15.32
31/iv,0.00,3.70,0.92,4.36,20.21,13.34,1.85,3.70,22.46,8.06,12.29,9.11
31/v,0.11,17.22,3.54,4.94,6.05,6.30,3.29,18.36,8.80,18.32,2.90,10.16
31/vi,4.97,4.97,13.81,11.60,4.97,15.47,6.63,9.39,6.63,4.97,10.50,6.08
31/i,3.54,16.47,13.72,8.50,10.12,11.52,2.81,7.51,7.48,2.92,2.60,12.83
31/ii,5.01,6.49,7.67,11.80,10.03,10.62,6.49,4.13,5.60,4.72,12.68,14.75
31/iii,3.88,6.44,12.46,8.72,7.65,10.87,5.28,10.02,6.89,10.18,8.00,9.61
