Movt.,0,1,2,3,4,5,6,7,8,9,10,11
14/iii,8.61,9.39,7.32,8.58,8.79,8.34,9.99,7.62,6.75,7.59,8.34,8.73
14/vi,8.25,9.40,5.99,5.90,7.85,7.26,8.74,8.19,10.73,9.82,9.18,8.69
14/v,10.37,8.54,8.56,6.11,6.83,6.61,8.07,9.13,10.05,8.75,8.35,8.63
14/ii,7.82,7.23,8.50,7.13,10.42,8.42,8.67,8.52,9.62,8.72,5.88,9.06
14/i,10.75,10.13,8.90,9.03,7.52,7.44,10.15,8.20,7.25,5.48,6.15,8.98
15/i,6.42,8.77,8.25,9.72,6.03,8.63,7.63,8.93,8.55,9.89,8.05,9.13
15/iii,8.16,8.23,7.41,8.16,7.31,9.01,8.95,7.44,9.34,10.03,6.13,9.83
15/ii,8.50,8.24,7.28,7.17,10.73,9.33,7.57,7.09,8.23,7.91,7.64,10.31
15/iv,7.38,6.67,7.26,7.86,9.29,6.31,10.24,10.36,8.10,8.81,11.43,6.31
16/ii,8.99,11.06,8.99,7.37,8.29,7.14,7.83,9.68,7.83,7.14,8.29,7.37
16/iii,8.15,10.48,7.13,8.73,6.84,6.84,9.75,9.32,9.17,8.73,7.13,7.71
16/iv,12.83,6.96,8.94,8.55,6.96,5.70,7.62,8.39,5.76,7.40,8.06,12.83
16/v,9.30,9.55,7.77,7.22,6.13,9.86,8.93,7.04,8.00,8.05,10.70,7.45
16/i,7.89,12.77,10.59,8.41,5.92,4.67,5.61,7.17,11.21,10.07,8.93,6.75
17/i,6.23,6.63,7.50,9.44,10.42,6.76,8.29,9.92,10.39,8.81,7.26,8.34
17/iii,8.78,12.99,9.56,9.40,6.01,6.48,8.06,7.69,8.33,9.15,6.72,6.83
17/ii,6.98,9.77,8.68,7.87,7.07,9.76,9.74,6.13,6.18,8.70,9.82,9.30
18/i,7.29,7.56,8.25,8.59,8.66,7.97,8.73,7.97,9.62,8.11,9.62,7.63
18/ii,9.04,7.35,8.57,7.58,7.37,7.28,8.14,7.84,9.55,9.06,8.96,9.26
18/iii,9.24,7.52,7.75,8.17,8.95,8.68,8.40,8.43,7.76,8.87,7.81,8.41
19/i,7.83,8.76,8.12,9.44,8.93,8.18,9.90,7.50,7.85,8.07,7.68,7.72
19/ii,7.47,7.19,8.04,8.27,6.67,8.04,9.07,10.44,8.73,8.78,9.53,7.76
20/ii,7.31,8.04,7.13,10.01,9.02,8.15,8.40,8.58,8.91,7.88,9.11,7.44
20/i,12.83,9.36,6.43,8.18,8.44,8.93,8.46,8.34,6.33,8.50,7.41,6.80
21/ii,8.79,9.36,9.13,6.76,7.35,8.09,9.41,8.21,8.92,7.33,7.15,9.49
21/i,9.80,7.75,8.28,8.28,10.86,7.30,7.93,8.73,9.44,6.95,8.73,5.97
22/ii,6.77,8.88,8.13,9.58,9.59,7.04,7.65,8.81,8.82,7.57,8.26,8.90
22/i,7.42,9.24,7.73,7.73,8.18,8.18,8.48,8.48,10.00,7.58,7.88,9.09
23/iii,8.21,8.00,7.98,8.55,8.83,7.45,9.31,11.66,7.71,7.73,7.13,7.45
23/ii,8.46,8.61,9.07,7.45,6.76,8.30,7.22,9.07,7.84,9.45,9.53,8.23
23/i,7.65,8.43,8.12,9.92,8.88,7.20,8.43,7.44,9.28,8.17,8.52,7.98
24/i,8.42,7.24,8.15,9.65,7.63,7.64,8.60,9.16,8.33,8.56,8.54,8.07
25/i,8.34,8.35,8.20,5.60,7.80,8.41,9.40,7.72,10.52,8.67,8.20,8.79
24/ii,8.25,7.44,6.04,5.73,7.14,11.07,9.15,8.15,8.35,10.97,9.05,8.65
24/iii,8.33,7.90,7.73,8.61,7.65,9.00,8.81,7.73,8.93,8.73,8.69,7.89
25/iii,7.61,6.80,8.47,10.12,9.11,5.75,9.69,10.13,7.43,8.91,8.03,7.94
25/ii,8.20,9.15,7.29,8.98,9.90,8.54,8.17,8.76,8.13,6.90,7.93,8.05
26,8.58,10.38,6.67,8.15,8.03,7.03,8.34,7.61,8.48,8.93,9.66,8.13
27/iii,8.10,10.40,9.91,9.78,7.43,7.99,8.12,8.83,8.11,5.79,7.55,7.99
27/i,8.58,9.49,8.76,7.85,8.76,8.94,8.76,7.85,8.76,8.03,7.85,6.39
27/ii,12.05,8.43,8.43,2.41,8.43,8.43,12.05,8.43,6.63,9.64,6.63,8.43
28/iii,9.04,7.84,8.27,8.08,7.74,9.19,8.75,6.78,7.94,8.95,8.71,8.71
28/i,8.50,7.87,8.12,7.93,8.14,7.88,8.11,7.90,9.42,9.15,7.50,9.48
28/ii,7.32,7.81,7.87,8.98,8.18,8.07,9.19,8.25,8.64,8.46,8.67,8.56
29/ii,8.47,7.82,8.19,8.06,7.96,9.84,7.82,8.23,7.94,8.39,8.57,8.71
29/i,8.97,10.63,9.84,7.93,8.62,7.14,8.01,7.75,7.93,6.71,7.84,8.62
29/iii,8.05,8.30,8.22,7.14,8.07,8.78,8.70,8.80,8.45,7.25,9.05,9.20
30,8.22,9.56,8.50,8.48,7.80,8.51,9.20,7.40,7.48,8.50,8.67,7.68
31/iv,6.86,10.29,9.80,9.31,6.37,7.84,6.37,9.31,8.33,8.33,8.82,8.33
31/v,8.24,9.67,7.60,8.59,9.64,8.09,7.90,8.86,9.08,7.53,6.57,8.24
31/vi,5.63,10.74,6.14,10.49,5.88,12.53,6.65,9.21,5.12,9.21,6.65,11.76
31/i,8.52,5.78,10.23,8.69,6.40,9.56,6.31,7.04,6.80,10.10,11.76,8.81
31/ii,7.52,8.87,8.72,9.77,8.72,9.02,6.92,7.07,8.57,7.97,8.27,8.57
31/iii,8.57,7.43,8.79,8.96,8.09,8.66,8.18,8.18,9.01,8.18,7.87,8.09
