Movt.,f1,f2,f3,f4,f5,f6
14/ii,1.45,2.04,1.42,1.36,1.59,0.91
14/i,1.73,1.74,1.69,1.33,1.49,0.92
15/i,1.67,1.67,2.08,1.46,1.67,0.83
15/iii,3.17,2.23,2.98,2.05,2.23,0.74
15/ii,1.55,2.13,1.94,1.55,1.31,1.55
15/iv,5.89,6.85,7.23,8.76,7.34,5.71
16/ii,13.33,18.95,13.33,16.84,13.33,21.05
16/iii,4.89,5.04,2.52,7.56,5.66,2.24
16/iv,21.75,15.92,21.75,15.92,21.75,15.92
16/v,5.96,5.81,5.88,9.15,9.37,4.90
16/i,5.36,4.17,3.57,3.57,4.17,5.36
17/i,3.08,2.67,2.25,2.25,2.25,1.83
17/iii,2.14,2.90,2.22,2.22,2.77,2.22
17/ii,3.36,3.21,3.36,2.69,1.99,1.68
18/i,1.83,4.34,1.37,3.65,2.05,1.37
18/ii,2.27,1.65,3.01,2.24,1.57,0.92
18/iii,2.24,2.99,2.19,2.02,1.62,0.73
19/i,1.12,1.06,1.18,0.94,1.21,0.47
19/ii,2.18,1.80,1.65,1.50,1.20,0.75
20/ii,0.60,1.01,1.31,0.42,0.45,0.26
20/i,2.99,3.25,1.66,2.32,2.01,1.00
21/ii,0.98,2.25,1.15,2.56,1.16,1.13
21/i,1.94,2.64,2.54,2.64,1.82,1.93
22/ii,1.47,1.29,0.93,0.98,1.07,0.77
22/i,3.84,2.57,2.83,3.60,2.95,1.03
23/iii,1.78,0.99,2.22,1.97,1.23,1.50
23/ii,1.74,1.25,2.30,1.61,0.90,1.07
23/i,1.77,2.02,2.27,1.81,1.21,1.21
24/i,1.27,1.01,1.55,1.16,1.44,0.89
25/i,8.94,4.92,5.53,3.90,2.20,1.03
24/ii,12.79,17.06,15.44,5.29,5.51,6.59
24/iii,11.33,3.83,5.49,2.76,3.06,0.43
25/iii,3.08,2.48,5.67,3.30,1.42,0.83
25/ii,2.83,2.28,1.52,2.03,1.49,0.38
26,0.87,0.93,0.71,0.70,0.71,0.47
27/iii,3.15,2.80,2.75,4.08,1.61,2.80
27/i,5.57,8.36,5.57,9.06,5.04,8.36
27/ii,12.50,12.50,12.50,12.50,9.38,12.50
28/iii,1.90,5.14,2.67,5.34,4.69,2.47
28/i,4.26,4.54,2.27,3.13,4.24,2.55
28/ii,6.32,3.87,4.31,8.04,7.47,3.87
29/ii,2.51,3.30,1.99,2.11,2.54,1.36
29/i,3.21,3.21,1.07,3.21,2.51,1.07
29/iii,2.16,1.89,3.02,1.51,2.26,1.51
30,1.17,0.97,1.11,1.13,0.99,0.56
31/iv,4.44,3.45,9.20,2.30,3.91,1.15
31/v,1.18,1.03,2.22,0.96,0.89,0.74
31/vi,7.04,4.23,4.23,8.45,7.04,5.63
31/i,8.71,1.32,1.66,2.26,1.57,0.65
31/ii,1.54,2.00,2.00,4.15,2.30,1.38
31/iii,2.21,1.58,1.97,1.18,1.47,0.79
