,(0  1  2),(0  1  3),(0  1  4),(0  1  5),(0  1  6),(0  2  4),(0  2  5),(0  2  6),(0  2  7),(0  3  6),(0  3  7),(0  4  8),(0  1  2  3),(0  1  2  4),(0  1  2  5),(0  1  2  6),(0  1  2  7),(0  1  3  4),(0  1  3  5),(0  1  3  6),(0  1  3  7),(0  1  4  5),(0  1  4  6),(0  1  4  7),(0  1  4  8),(0  1  5  6),(0  1  5  7),(0  1  5  8),(0  1  6  7),(0  2  3  5),(0  2  3  6),(0  2  3  7),(0  2  4  6),(0  2  4  7),(0  2  4  8),(0  2  5  7),(0  2  5  8),(0  2  6  8),(0  3  4  7),(0  3  5  8),(0  3  6  9),(0  1  2  3  4),(0  1  2  3  5),(0  1  2  3  6),(0  1  2  3  7),(0  1  2  4  5),(0  1  2  4  6),(0  1  2  4  7),(0  1  2  4  8),(0  1  2  5  6),(0  1  2  5  7),(0  1  2  5  8),(0  1  2  6  7),(0  1  2  6  8),(0  1  3  4  6),(0  1  3  4  7),(0  1  3  4  8),(0  1  3  5  6),(0  1  3  5  7),(0  1  3  5  8),(0  1  3  6  7),(0  1  3  6  8),(0  1  3  6  9),(0  1  3  7  8),(0  1  4  5  7),(0  1  4  5  8),(0  1  4  6  8),(0  1  4  6  9),(0  1  4  7  8),(0  2  3  4  6),(0  2  3  4  7),(0  2  3  5  7),(0  2  3  5  8),(0  2  3  6  8),(0  2  4  5  8),(0  2  4  6  8),(0  2  4  6  9),(0  2  4  7  9),(0  3  4  5  8),(0  1  2  3  4  5),(0  1  2  3  4  6),(0  1  2  3  4  7),(0  1  2  3  4  8),(0  1  2  3  5  6),(0  1  2  3  5  7),(0  1  2  3  5  8),(0  1  2  3  6  7),(0  1  2  3  6  8),(0  1  2  3  6  9),(0  1  2  3  7  8),(0  1  2  4  5  6),(0  1  2  4  5  7),(0  1  2  4  5  8),(0  1  2  4  6  7),(0  1  2  4  6  8),(0  1  2  4  6  9),(0  1  2  4  7  8),(0  1  2  4  7  9),(0  1  2  5  6  7),(0  1  2  5  6  8),(0  1  2  5  6  9),(0  1  2  5  7  8),(0  1  2  5  7  9),(0  1  2  6  7  8),(0  1  3  4  5  7),(0  1  3  4  5  8),(0  1  3  4  6  7),(0  1  3  4  6  8),(0  1  3  4  6  9),(0  1  3  4  7  8),(0  1  3  4  7  9),(0  1  3  5  6  8),(0  1  3  5  6  9),(0  1  3  5  7  8),(0  1  3  5  7  9),(0  1  3  5  8  9),(0  1  3  6  7  9),(0  1  3  6  8  9),(0  1  4  5  6  8),(0  1  4  5  8  9),(0  1  4  6  7  9),(0  2  3  4  5  7),(0  2  3  4  5  8),(0  2  3  4  6  8),(0  2  3  4  6  9),(0  2  3  5  6  8),(0  2  3  5  7  9),(0  2  4  5  7  9),(0  2  4  6  8  10),(0  1  2  3  4  5  6),(0  1  2  3  4  5  7),(0  1  2  3  4  5  8),(0  1  2  3  4  6  7),(0  1  2  3  4  6  8),(0  1  2  3  4  6  9),(0  1  2  3  4  7  8),(0  1  2  3  4  7  9),(0  1  2  3  5  6  7),(0  1  2  3  5  6  8),(0  1  2  3  5  6  9),(0  1  2  3  5  7  8),(0  1  2  3  5  7  9),(0  1  2  3  5  8  9),(0  1  2  3  6  7  8),(0  1  2  3  6  7  9),(0  1  2  4  5  6  8),(0  1  2  4  5  6  9),(0  1  2  4  5  7  8),(0  1  2  4  5  7  9),(0  1  2  4  5  8  9),(0  1  2  4  6  7  8),(0  1  2  4  6  7  9),(0  1  2  4  6  8  9),(0  1  2  4  6  8  10),(0  1  2  4  7  8  9),(0  1  2  5  6  8  9),(0  1  3  4  5  6  8),(0  1  3  4  5  7  8),(0  1  3  4  5  7  9),(0  1  3  4  6  7  9),(0  1  3  4  6  8  9),(0  1  3  4  6  8  10),(0  1  3  5  6  7  9),(0  1  3  5  6  8  10),(0  2  3  4  5  6  8),(0  2  3  4  5  7  9),(0  2  3  4  6  7  9),(0  1  2  3  4  5  6  7),(0  1  2  3  4  5  6  8),(0  1  2  3  4  5  6  9),(0  1  2  3  4  5  7  8),(0  1  2  3  4  5  7  9),(0  1  2  3  4  5  8  9),(0  1  2  3  4  6  7  8),(0  1  2  3  4  6  7  9),(0  1  2  3  4  6  8  9),(0  1  2  3  4  6  8  10),(0  1  2  3  4  7  8  9),(0  1  2  3  5  6  7  8),(0  1  2  3  5  6  7  9),(0  1  2  3  5  6  8  9),(0  1  2  3  5  6  8  10),(0  1  2  3  5  7  8  9),(0  1  2  3  5  7  8  10),(0  1  2  3  6  7  8  9),(0  1  2  4  5  6  7  9),(0  1  2  4  5  6  8  9),(0  1  2  4  5  6  8  10),(0  1  2  4  5  7  8  9),(0  1  2  4  5  7  8  10),(0  1  2  4  5  7  9  10),(0  1  2  4  6  7  8  10),(0  1  3  4  5  6  7  9),(0  1  3  4  5  6  8  9),(0  1  3  4  6  7  9  10),(0  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  7  8),(0  1  2  3  4  5  6  7  9),(0  1  2  3  4  5  6  8  9),(0  1  2  3  4  5  6  8  10),(0  1  2  3  4  5  7  8  9),(0  1  2  3  4  5  7  8  10),(0  1  2  3  4  6  7  8  9),(0  1  2  3  4  6  7  8  10),(0  1  2  3  4  6  7  9  10),(0  1  2  3  5  6  7  8  10),(0  1  2  3  5  6  7  9  10),(0  1  2  4  5  6  8  9  10),(0  1  2  3  4  5  6  7  8  9),(0  1  2  3  4  5  6  7  8  10),(0  1  2  3  4  5  6  7  9  10),(0  1  2  3  4  5  6  8  9  10),(0  1  2  3  4  5  7  8  9  10),(0  1  2  3  4  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10),(0  1  2  3  4  5  6  7  8  9  10  11)
4/iv,8.59,6.13,3.07,3.37,1.23,0.00,1.84,1.23,0.92,0.00,0.31,0.31,4.29,1.23,2.76,2.76,0.00,0.61,0.31,0.31,1.53,1.84,1.53,0.00,0.31,0.31,0.00,0.00,0.31,0.31,0.61,0.00,0.00,0.00,0.31,0.00,0.00,0.31,0.00,0.61,0.00,0.61,0.31,0.92,1.23,0.92,0.92,0.00,0.61,4.29,0.00,0.00,0.00,0.31,1.53,0.61,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.31,0.00,0.00,0.92,0.00,0.00,0.00,0.31,0.00,0.61,0.61,0.00,0.00,0.00,0.00,0.00,0.31,0.61,0.31,0.61,1.53,0.00,0.31,1.23,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.61,0.31,1.23,0.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.00,0.00,0.00,0.00,0.31,0.00,0.92,0.00,0.00,0.00,3.37,0.00,0.00,0.92,0.00,0.00,1.53,0.00,0.92,1.23,0.00,0.00,0.00,0.00,0.00,0.31,0.92,0.00,0.00,0.00,0.00,0.61,0.00,0.92,0.00,0.00,0.92,0.00,0.00,0.31,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,5.83,0.00,0.00,0.00,0.61,0.00,0.00,0.31,0.61,0.00,0.00,0.00,0.00,1.53,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/v,19.28,3.16,2.71,1.66,1.66,4.97,0.30,1.36,0.00,1.36,1.66,0.30,6.63,3.16,1.81,1.05,0.30,1.05,0.90,0.30,0.45,0.60,0.45,1.20,0.60,0.30,0.60,0.00,0.00,0.15,0.30,0.15,0.15,0.00,0.45,0.00,0.00,0.00,0.90,0.00,0.00,3.77,2.11,1.05,0.75,2.71,1.20,0.00,0.60,0.45,0.45,0.30,0.45,0.00,0.45,0.60,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.30,0.00,0.00,0.00,0.15,0.15,0.00,0.00,0.00,0.15,2.86,0.90,0.00,0.60,1.20,0.45,0.15,0.45,0.60,0.30,0.30,1.05,0.00,0.90,0.45,0.00,0.00,0.00,0.00,0.60,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,0.00,0.00,0.00,2.41,0.30,0.30,0.45,0.45,0.00,0.30,0.00,1.36,0.30,0.00,0.60,0.00,0.00,0.75,0.00,0.15,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.00,1.36,0.60,0.00,0.75,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5/i,2.53,2.03,5.16,2.09,1.45,0.63,0.49,0.55,0.27,0.25,1.12,0.12,0.77,1.79,1.77,1.31,0.36,1.09,0.72,0.31,0.49,1.38,0.55,0.53,0.41,0.16,0.29,0.14,0.11,0.22,0.84,0.24,0.16,0.12,0.05,0.18,0.11,0.05,3.81,0.06,0.01,1.72,0.86,1.21,0.87,3.14,0.47,0.10,0.18,0.57,0.35,0.26,0.39,0.20,0.77,0.71,0.21,0.29,0.83,0.03,0.23,0.15,0.14,0.06,0.38,1.12,0.00,0.55,0.13,0.26,0.55,0.12,0.05,0.24,0.31,0.01,0.00,0.00,0.07,0.81,1.02,0.91,0.43,1.68,1.05,0.21,0.49,0.11,0.06,0.00,1.06,0.25,0.21,0.34,0.15,0.10,0.18,0.12,0.11,0.16,0.10,0.20,0.00,0.17,0.86,0.35,0.56,0.20,0.19,0.09,0.05,0.03,0.11,0.03,0.02,0.21,0.48,0.03,0.11,1.04,0.12,0.46,0.10,0.22,0.01,0.02,0.00,0.00,0.00,1.02,0.88,0.73,4.61,0.32,0.18,0.12,0.11,0.41,0.04,0.42,0.17,0.04,0.02,0.27,0.10,0.63,0.06,0.27,0.00,0.52,0.21,0.05,0.04,0.03,0.06,0.07,1.55,0.34,0.16,0.40,0.20,0.00,0.14,0.00,0.02,0.16,0.09,1.65,0.90,0.01,2.45,0.17,0.18,1.54,0.33,0.34,0.02,0.13,0.05,0.24,0.02,0.09,0.08,0.05,0.06,0.11,0.45,0.22,0.04,0.18,0.00,0.02,0.21,0.81,0.30,0.03,1.52,0.11,0.83,0.24,0.48,0.06,0.33,1.09,0.34,0.21,0.33,0.12,0.05,0.05,0.10,0.67,0.26,0.63,0.03,0.00
5/ii,18.45,8.74,9.71,10.68,5.83,0.00,4.85,6.80,0.00,0.97,1.94,0.00,0.00,0.97,3.88,3.88,0.00,0.00,0.00,0.97,0.97,0.00,2.91,1.94,1.94,0.97,0.00,1.94,0.97,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.97,1.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5/iii,0.52,4.22,23.20,1.30,0.30,0.07,0.04,5.17,0.00,0.04,0.30,0.06,0.67,0.91,0.28,0.93,0.19,0.48,0.70,0.07,0.39,1.31,0.09,0.26,0.63,0.24,0.06,0.37,0.00,0.04,0.52,0.44,0.07,0.00,0.91,0.00,0.06,0.39,0.69,0.00,0.00,0.89,0.20,0.22,0.52,0.41,7.57,0.02,0.96,0.46,0.00,0.07,0.02,0.33,0.04,0.09,0.11,0.00,0.04,0.24,0.06,0.09,0.00,1.76,1.80,1.63,0.00,0.19,0.11,0.00,0.04,0.04,0.02,0.19,0.06,0.24,0.00,0.00,0.00,0.15,0.50,0.50,1.72,0.00,0.09,0.06,0.02,0.35,0.00,0.22,0.04,0.00,0.04,0.06,0.61,0.09,0.06,0.00,0.00,1.63,0.04,0.06,0.00,0.00,0.56,0.11,0.00,0.22,0.04,0.31,0.07,0.04,0.04,0.63,0.06,0.93,0.04,0.00,0.46,0.00,0.04,0.07,0.02,0.76,0.00,0.00,0.00,0.00,0.06,0.09,1.26,0.54,0.50,1.35,0.09,1.61,0.06,0.00,0.19,0.06,0.19,0.15,0.06,0.09,0.06,0.26,0.04,0.07,0.00,0.07,0.00,0.09,0.61,0.09,0.00,0.09,0.06,0.20,0.65,0.02,0.09,0.09,0.06,0.06,0.44,0.02,0.00,0.43,0.69,0.19,0.69,0.59,0.65,0.04,0.15,0.37,0.35,0.09,0.19,0.11,0.17,0.41,0.02,0.02,0.00,0.00,0.43,0.02,0.00,0.30,0.00,0.00,0.04,0.04,0.00,0.06,0.30,0.74,1.39,0.39,0.11,1.15,0.20,0.07,0.09,0.09,0.13,0.17,0.59,0.69,0.94,0.19,0.28,0.09,2.02,0.13
5/iv,2.99,0.00,2.56,8.12,4.70,0.00,0.00,2.56,2.99,1.28,2.56,43.16,0.00,0.00,2.56,0.85,1.71,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,2.99,0.85,2.56,0.00,1.28,0.00,0.00,0.00,0.00,0.85,0.43,0.00,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,1.71,0.43,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.00,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,1.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5/v,1.83,0.91,17.35,7.76,4.57,3.20,3.65,6.39,0.91,3.65,9.13,2.74,0.46,0.46,0.91,0.91,1.83,0.00,0.91,4.11,2.74,0.91,1.37,0.46,1.83,0.00,0.46,1.83,0.00,0.00,0.91,0.00,0.00,0.46,0.00,0.00,1.37,0.00,3.20,0.46,0.00,0.00,0.46,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.46,4.11,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6/i,3.13,3.70,8.68,2.95,0.35,2.84,0.29,0.69,0.12,0.29,0.23,0.41,2.66,3.70,0.46,0.17,0.00,2.20,1.56,0.06,0.06,3.94,0.17,0.29,2.89,0.12,1.16,0.00,0.00,0.06,0.46,0.00,1.56,0.06,0.06,0.00,0.12,0.00,0.17,0.00,0.00,7.12,2.49,0.23,0.00,1.68,0.12,0.06,0.00,0.17,0.00,0.00,0.00,0.00,0.29,1.04,0.00,0.23,0.17,0.00,0.00,0.00,0.06,0.00,5.09,0.06,0.06,0.00,0.12,0.41,0.00,0.00,0.00,0.00,0.23,1.16,0.06,0.00,0.00,3.36,2.08,0.17,0.00,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,1.62,0.06,0.06,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.06,0.00,0.00,0.00,0.06,0.00,0.17,0.00,0.00,0.00,11.00,11.63,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6/ii,10.19,7.66,4.87,6.42,3.11,0.78,2.86,3.83,0.26,1.10,1.17,0.26,5.65,4.41,0.97,0.91,0.00,0.26,1.56,0.45,0.00,5.13,0.06,2.79,0.58,0.78,0.32,0.26,0.00,1.82,0.32,0.78,0.06,0.13,0.00,0.00,2.01,0.00,0.39,0.19,0.00,0.97,2.14,0.78,0.00,0.19,0.19,0.00,0.00,0.06,0.26,0.91,0.00,0.00,0.32,0.32,0.00,0.00,0.00,0.39,0.45,0.00,0.71,0.00,2.60,0.84,0.13,0.13,0.39,0.00,0.97,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.13,0.00,0.00,0.06,0.00,2.60,0.52,0.00,1.30,0.00,0.13,0.00,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.78,0.26,0.13,0.00,0.19,0.00,0.32,0.00,0.32,0.00,0.00,0.00,0.39,0.00,0.00,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.45,0.00,0.84,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.00,0.00,0.00,0.00,0.00,0.00,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6/iii,1.80,2.70,2.70,4.50,1.80,9.01,8.11,5.41,3.60,0.90,0.00,0.00,0.00,0.00,3.60,2.70,0.00,1.80,28.83,0.00,0.00,0.90,0.00,0.90,0.00,0.00,14.41,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6/iv,19.94,10.44,5.61,1.56,0.93,0.62,1.09,1.25,0.16,0.00,0.31,0.00,13.40,6.70,1.09,1.56,0.16,0.93,0.00,0.00,0.16,2.49,0.00,0.31,0.16,0.16,0.62,0.00,0.00,2.02,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,7.01,4.21,0.47,0.00,2.65,0.93,0.16,0.00,0.31,0.16,0.00,0.93,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.80,0.47,0.31,0.00,1.40,0.31,0.00,0.00,0.00,0.00,0.00,0.93,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.31,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.62,0.00,0.16,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6/v,7.50,4.38,53.75,4.38,1.88,0.00,0.00,3.75,0.00,0.00,1.25,0.63,7.50,1.25,0.00,2.50,0.00,0.63,0.00,0.00,0.00,0.63,1.88,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.63,0.00,0.00,0.63,0.63,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,1.25,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
